,titles,publishers,authors,years
445,Whither China's democracy : democratization in China since the Tiananmen incident,Hong Kong : City University of Hong Kong Press 2011,"edited by Joseph Y.S. Cheng ; [contributors, Mobo Gao ... [et al.]], edited by Joseph Y.S. Cheng, Joseph Y. S. Cheng",2011
446,上海摩登 : 一种新都市文化在中囯1930-1945,第1版 北京市 : 北京大学出版社 2001,李欧梵著 ; 毛尖译,2001
447,"Shanghai modern : the flowering of a new urban culture in China, 1930-1945","Cambridge, Mass. : Harvard University Press 1999",Leo Ou-fan Lee,1999
448,"Education and international development : theory, practice and issues","Didcot, Oxford, United Kingdom : Symposium Books 2014",Clive Harber,2014
449,Robot ethics : the ethical and social implications of robotics,"Cambridge, Mass. : MIT Press c2012","edited by Patrick Lin, Keith Abney, and George A. Bekey",2012
450,Evicted : poverty and profit in the American city,First edition New York : Crown Publishers 2016,Matthew Desmond,2016
451,The great urban transformation : politics of land and property in China,Oxford ; Hong Kong : Oxford University Press 2010,You-tien Hsing,2010
452,建設中國的耶路撒冷 : 基督教與城市現代性變遷,香港 : 香港大學出版社 2013,曹南來,2013
453,Adaptation and transformation in communist and post-communist systems,"Boulder, Colo. : Westview Press 1992",edited by Sabrina Petra Ramet,1992
454,North Korea's hidden revolution : how the information underground is transforming a closed society,New Haven : Yale University Press 2016,Jieun Baek,2016
455,Human enhancement,Oxford ; New York : Oxford University Press 2009,edited by Julian Savulescu and Nick Bostrom,2009
456,Public health infectious disease,"Hong Kong : Stanley Ho Centre for Emerging Infectious Diseases, Chinese University of Hong Kong 2012",[S.S. Lee],2012
457,The culture map : breaking through the invisible boundaries of global business,"First edition New York, NY : PublicAffairs 2014",Erin Meyer,2014
458,"The common law in two voices : language, law, and the postcolonial dilemma in Hong Kong","Stanford, Calif. : Stanford University Press c2009",Kwai Hang Ng,2009
459,Introduction to public health,"Fifth edition Burlington, MA : Jones & Bartlett Learning 2017","Mary-Jane Schneider, PhD, Clinical Associate Professor, Department of Health Policy, Management, and Behavior, School of Public Health, University at Albany, State University of New York, Rensselaer, New York, with Henry S. Schneider, PhD, Assistant Professor of Economics, Johnson Graduate School of Management, Cornell University, Ithaca, New York ; drawings by Henry S. Schneider",2017
460,Family law case library. Children,2nd ed Bristol England : Family Law c2011,"editors, Charles Prest, Stephen Wildblood",2011
461,Nuclear endgame : the need for engagement with North Korea,"Westport, Conn. : Praeger Security International 2007",Jacques L. Fuqua Jr,2007
462,"Masculine compromise : migration, family, and gender in China","Oakland, California : University of California Press 2016",Susanne Y.P. Choi and Yinni Peng,2016
463,World poverty and human rights : cosmopolitan responsibilities and reforms,Cambridge : Polity ; London : Blackwell 2002,Thomas W. Pogge,2002
464,课程与敎学的基本原理,第1版 北京 : 人民敎育出版社 1994,拉尔夫・泰勒著 ; 施良方译 ; 瞿葆奎校,1994
465,Political parties and democracy,"Baltimore, MD : Johns Hopkins University Press 2001",edited by Larry Diamond and Richard Gunther,2001
466,Polyarchy; participation and opposition,New Haven : Yale University Press 1971,by Robert A. Dahl,1971
467,Understanding the political culture of Hong Kong : the paradox of activism and depoliticization,"Armonk, N.Y. : M.E. Sharpe c2004",Wai-man Lam ; foreword by Ming K. Chan,2004
468,課程與敎學的基本原理,臺北 : 桂冠圖書出版公司 民國70 [1981,泰勒著 ; 黃炳煌編譯 ; 國立編譯館主編,1981
469,Asian children at home and at school : an ethnographic study,London : New York : Routledge 1999,Ghazala Bhatti,1999
470,基督教的兴起 : 一个社会学家对历史的再思 = The rise of Christianity : a sociologist reconsiders history,第1版 上海 : 上海古籍出版社 2005,"罗德尼・斯塔克著 ; 黄剑波, 高民贵译",2005
471,ゲーム的リアリズムの誕生 : 動物化するポストモダン. 2,東京 : 講談社 2007,東浩紀,2007
472,Social media campaigns : strategies for public relations and marketing,"New York : Routledge, Taylor & Francis Group 2016",Carolyn Mae Kim,2016
473,The economic analysis of public policy [electronic resource],London ; New York : Routledge 2007,William K. Bellinger,2007
